row_label,applicant,lead,blank,grand_total,l2a
UDR 02,2,2139,,2141,0.0009350163627863488
UDR 06,45,2886,,2931,0.015592515592515593
UDR 08,30,3028,,3058,0.009907529722589167
UDR 12,77,3146,,3223,0.024475524475524476
UDR 14,12,2366,,2378,0.00507185122569738
UDR 17,21,2387,,2408,0.00872093023255814
UDR 19,2,414,,416,0.004830917874396135
UDR 21,28,3111,,3139,0.00900032144005143
UDR 23,15,2522,,2537,0.005947660586835844
UDR 25,38,2924,,2962,0.012995896032831737
