sheet,metric,value,numeric_value
Sheet1,Budget,858.0,858.0
Sheet1,Enrolled,411.0,411.0
Sheet1,Starts,318.0,318.0
Sheet1,Start%,0.7737226277372263,0.7737226277372263
Sheet1,Budget,,
Sheet1,Budget,775.0,775.0
