row_label,applicant,enrolled,lead,not_a_lead,blank,grand_total,l2a,l2e,badleads
EBG,,,18,,,18,0,0,0
Eddie Leads,,,348,,,348,0,0,0
HireGI,1,,95,4,,100,0.01,0,0.04
Kara Leads,2,,521,4,,527,0.003795066413662239,0,0.007590132827324478
Karyl Leads,,,3,,,3,0,0,0
Nathen,1,,75,,,76,0.013157894736842105,0,0
Oby,,,10,,,10,0,0,0
Project Falcon,2,2,93,4,,101,0.019801980198019802,0.019801980198019802,0.039603960396039604
Project Maverick,1,,105,8,,114,0.008771929824561403,0,0.07017543859649122
