sheet,metric,value,numeric_value
2026Roundup,Budget,858.0,858.0
2026Roundup,Enrolled,410.0,410.0
2026Roundup,Starts,317.0,317.0
2026Roundup,Start%,0.7731707317073171,0.7731707317073171
2026Roundup,Budget,,
2026Roundup,Budget,775.0,775.0
